stock_symbol,title,date,time,0_day_close,1_day_close,2_day_close,3_day_close,4_day_close,5_day_close,7_day_close,14_day_close,1_month_close,2_month_close
TTWO,Take-Two Interactive Software (TTWO) Q4 2024 Earnings Call Transcript,2024-05-16,,146.0800018310547,147.83999633789062,,,,,,,,
AMAT,Applied Materials (AMAT) Q2 2024 Earnings Call Transcript,2024-05-16,,214.02999877929688,212.0800018310547,,,,,,,,
DXC,DXC Technology (DXC) Q4 2024 Earnings Call Transcript,2024-05-16,,19.8799991607666,16.520000457763672,,,,,,,,
LSPD,Lightspeed Commerce (LSPD) Q4 2024 Earnings Call Transcript,2024-05-16,,15.100000381469727,15.420000076293945,,,,,,,,
JD,JD.com (JD) Q1 2024 Earnings Call Transcript,2024-05-16,,34.27000045776367,35.27000045776367,,,,,,,,
BIDU,Baidu (BIDU) Q1 2024 Earnings Call Transcript,2024-05-16,,112.58999633789062,110.58000183105469,,,,,,,,
WMT,Walmart (WMT) Q1 2025 Earnings Call Transcript,2024-05-16,,64.01000213623047,64.6500015258789,,,,,,,,
CSCO,Cisco Systems (CSCO) Q3 2024 Earnings Call Transcript,2024-05-15,,49.66999816894531,48.34000015258789,48.16999816894531,,,,,,,
INFN,Infinera (INFN) Q1 2024 Earnings Call Transcript,2024-05-14,,5.800000190734863,5.349999904632568,5.309999942779541,5.260000228881836,,,,,,
VOXX,VOXX International Corporation (VOXX) Q4 2024 Earnings Call Transcript,2024-05-15,,4.53000020980835,4.0,4.0,,,,,,,
DT,Dynatrace (DT) Q4 2024 Earnings Call Transcript,2024-05-15,,47.75,48.470001220703125,48.099998474121094,,,,,,,
MNDY,Monday.com (MNDY) Q1 2024 Earnings Call Transcript,2024-05-15,,220.72000122070312,228.39999389648438,228.8300018310547,,,,,,,
SRAD,Sportradar Group Ag (SRAD) Q1 2024 Earnings Call Transcript,2024-05-15,,10.479999542236328,10.600000381469727,10.649999618530273,,,,,,,
HD,Home Depot (HD) Q1 2024 Earnings Call Transcript,2024-05-14,,340.5,348.6700134277344,342.7300109863281,344.2099914550781,,,,,,
IGT,International Game Technology Plc (IGT) Q1 2024 Earnings Call Transcript,2024-05-14,,20.600000381469727,20.549999237060547,20.700000762939453,20.239999771118164,,,,,,
OGI,Organigram (OGI) Q2 2024 Earnings Call Transcript,2024-05-14,,1.8350000381469727,1.9299999475479126,2.0299999713897705,2.0199999809265137,,,,,,
TCEHY,Tencent (TCEHY) Q1 2024 Earnings Call Transcript,2024-05-14,,51.07733917236328,51.1765022277832,51.23599624633789,51.08000183105469,,,,,,
SE,Sea Limited (SE) Q1 2024 Earnings Call Transcript,2024-05-14,,66.26000213623047,68.63999938964844,71.44000244140625,73.76000213623047,,,,,,
BABA,Alibaba Group (BABA) Q1 2024 Earnings Call Transcript,2024-05-14,,79.51000213623047,80.98999786376953,86.69999694824219,88.54000091552734,,,,,,
STNE,StoneCo (STNE) Q1 2024 Earnings Call Transcript,2024-05-13,,16.649999618530273,15.300000190734863,14.989999771118164,14.770000457763672,14.630000114440918,,,,,
INO,Inovio Pharmaceuticals (INO) Q1 2024 Earnings Call Transcript,2024-05-13,,11.359999656677246,11.420000076293945,13.069999694824219,12.789999961853027,12.0,,,,,
HUYA,HUYA (HUYA) Q1 2024 Earnings Call Transcript,2024-05-13,,4.730000019073486,5.519999980926514,5.579999923706055,6.130000114440918,6.0,,,,,
MAIN,Main Street Capital (MAIN) Q1 2024 Earnings Call Transcript,2024-05-10,,49.400001525878906,48.95000076293945,49.83000183105469,49.310001373291016,48.650001525878906,48.75,,,,
AQN,Algonquin Power & Utilities (AQN) Q1 2024 Earnings Call Transcript,2024-05-10,,6.559999942779541,6.53000020980835,6.489999771118164,6.670000076293945,6.730000019073486,6.650000095367432,,,,
HMC,Honda Motor (HMC) Q4 2024 Earnings Call Transcript,2024-05-10,,33.779998779296875,33.790000915527344,33.52000045776367,33.84000015258789,32.81999969482422,33.2400016784668,,,,
LAW,Cs Disco (LAW) Q1 2024 Earnings Call Transcript,2024-05-09,,8.069999694824219,6.800000190734863,6.760000228881836,6.860000133514404,7.050000190734863,6.96999979019165,,,,
MGNX,MacroGenics (MGNX) Q1 2024 Earnings Call Transcript,2024-05-09,,14.670000076293945,3.309999942779541,4.380000114440918,4.449999809265137,4.710000038146973,5.119999885559082,,,,
EQIX,Equinix (EQIX) Q1 2024 Earnings Call Transcript,2024-05-09,,772.4299926757812,757.6799926757812,776.8900146484375,789.8200073242188,809.6799926757812,799.5,,,,
FIGS,Figs (FIGS) Q1 2024 Earnings Call Transcript,2024-05-09,,5.619999885559082,5.389999866485596,5.769999980926514,6.0,5.929999828338623,5.800000190734863,,,,
AMPL,Amplitude (AMPL) Q1 2024 Earnings Call Transcript,2024-05-09,,9.260000228881836,9.119999885559082,8.979999542236328,9.335000038146973,9.489999771118164,9.140000343322754,,,,
BLNK,Blink Charging (BLNK) Q1 2024 Earnings Call Transcript,2024-05-09,,2.8399999141693115,2.819999933242798,3.0999999046325684,3.2799999713897705,3.309999942779541,3.3299999237060547,,,,
U,Unity Software (U) Q1 2024 Earnings Call Transcript,2024-05-09,,24.15999984741211,21.690000534057617,22.690000534057617,23.030000686645508,22.3799991607666,22.09000015258789,,,,
